week,aft_pred,aft_ci_low,aft_ci_high,km_pred,km_ci_low,km_ci_high,diff,abs_diff
12,0.8027384898502542,0.7527384898502542,0.8527384898502542,0.8821428571428561,0.8420212451177648,0.9222333796971317,-0.07940436729260192,0.07940436729260192
14,0.6181739575623666,0.5681739575623665,0.6681739575623666,0.36473214285714234,0.30389012273082094,0.4253733250056779,0.25344181470522426,0.25344181470522426
16,0.457171737594416,0.407171737594416,0.507171737594416,0.23679315476190457,0.19024526089505567,0.28071960252157135,0.2203785828325114,0.2203785828325114
18,0.3410243955851081,0.2910243955851081,0.3910243955851081,0.1568876457475993,0.10720695174132087,0.20460040838354296,0.1841367498375088,0.1841367498375088
20,0.2519518857605431,0.20195188576054313,0.3019518857605431,0.09554055350014055,0.06398846458522811,0.13925337599402277,0.15641133226040255,0.15641133226040255
22,0.1846762765105005,0.13467627651050051,0.2346762765105005,0.051751133145909484,0.023954634712852762,0.08838735349251776,0.13292514336459102,0.13292514336459102
24,0.13445237153351733,0.08445237153351733,0.18445237153351735,0.01725037771530316,0.0,0.038307962634952224,0.11720199381821417,0.11720199381821417
