Model,R_squared,Adj_R_squared,AIC,BIC,F_statistic,F_p_value,Parameters
Baseline,0.06186093271342563,0.05846187812180759,-2225.533596113654,-2212.5766917724145,18.199452537765346,2.2169363559399972e-08,3
Interaction,0.06613397691008738,0.06104940691141281,-2226.0672897025693,-2208.7914172475835,13.006798397372005,3.216717105536947e-08,4
Quadratic,0.06737845121289265,0.062300656936374876,-2226.807378574107,-2209.5315061191213,13.269236117832326,2.247536480563302e-08,4
Full,0.0704831221242419,0.06372299937605452,-2226.6580400799585,-2205.0631995112262,10.42630803459026,3.802043496606671e-08,5
