step,specification,distribution,aic,log_likelihood,n_params,model_key,delta_aic,aic_weight,selected
3.1,extended,weibull,246.1797984478342,-115.0898992239171,8,3.1_extended_weibull,0.0,0.7826429133555769,True
3.1,extended,loglogistic,249.13214451226224,-116.56607225613112,8,3.1_extended_loglogistic,2.952346064428042,0.17884213876652952,False
3.1,core,weibull,252.7973072158835,-122.39865360794175,4,3.1_core_weibull,6.617508768049305,0.02861474540571272,False
3.1,core,loglogistic,254.92004111572925,-123.46002055786462,4,3.1_core_loglogistic,8.740242667895046,0.009900202472180734,False
