Model,R_squared,Adj_R_squared,AIC,BIC,weeks_coef,weeks_pval,BMI_coef,BMI_pval,F_statistic,F_pvalue
Baseline OLS,0.06186093271342563,0.05846187812180759,-2225.533596113654,-2212.5766917724145,0.0018420407680056305,6.907872554238e-07,-0.0019754400336328536,5.8988240489836736e-05,18.199452537765346,2.2169363559399972e-08
OLS + Robust SE (HC3),0.06186093271342563,0.05846187812180759,-2225.533596113654,-2212.5766917724145,0.0018420407680056305,1.770654055905286e-05,-0.0019754400336328536,0.0013361659865399143,15.139513523879906,3.9718121589286736e-07
Logit Transform + Robust SE,0.05589373164164857,0.05247305675629221,777.1331096950047,790.090014036244,0.02168227672024391,9.964752782352584e-05,-0.03407103178590966,4.471392395749079e-05,16.761800246501657,8.568992284270865e-08
